angle_deg,freq_Hz,S11_re,S11_im,S21_re,S21_im,S11_dB,S21_dB
0.0,1000000000,-4.136525000e-05,-7.629412500e-05,-1.855537500e-04,-1.329895875e-03,-81.230968,-57.439915
0.0,1020000000,-6.707387500e-05,-5.518375000e-06,1.009085875e-03,1.748009000e-03,-83.439634,-53.900014
0.0,1040000000,6.615250000e-05,8.905212500e-05,-2.527218250e-03,5.671119125e-03,-79.098678,-44.139934
0.0,1060000000,1.008240000e-04,7.978875000e-06,4.253384875e-03,-2.795011250e-03,-79.901608,-45.866437
0.0,1080000000,6.554525000e-05,-1.808662500e-05,-7.895361875e-03,-1.882747375e-03,-83.350474,-41.812367
0.0,1100000000,1.795937500e-05,-3.699662500e-05,3.476966125e-03,5.003024375e-03,-87.717821,-44.303973
0.0,1120000000,3.199362500e-05,5.995750000e-06,4.096329500e-03,-5.147054750e-03,-89.748822,-43.637921
0.0,1140000000,4.424287500e-05,-5.724250000e-06,-3.947853625e-03,-6.321989625e-03,-87.011035,-42.552917
0.0,1160000000,5.674275000e-05,-9.077000000e-06,-3.833284750e-03,5.638557125e-03,-84.812056,-43.326648
0.0,1180000000,6.507850000e-05,-6.080250000e-06,5.962623250e-03,-7.770000000e-04,-83.693504,-44.418124
0.0,1200000000,8.118100000e-05,1.879462500e-05,-1.848081125e-03,-1.310379875e-03,-81.584158,-52.896711
0.0,1220000000,8.995850000e-05,6.966375000e-06,-4.140928875e-03,3.031108875e-03,-80.893189,-45.794681
0.0,1240000000,7.277675000e-05,-5.699387500e-05,-2.217165375e-03,1.041197500e-03,-80.683003,-52.218549
0.0,1260000000,2.509537500e-05,-7.945587500e-05,4.671022750e-03,2.418916000e-03,-81.584520,-45.579970
0.0,1280000000,-2.222625000e-06,-2.923775000e-05,-2.683623750e-04,-2.524888500e-03,-90.656096,-51.906369
0.0,1300000000,9.337037500e-05,3.214212500e-05,2.083870250e-03,4.984356250e-04,-80.109445,-53.380971
0.0,1320000000,1.443855000e-04,-9.808125000e-06,5.149083875e-03,-8.623565000e-04,-76.789534,-45.645264
0.0,1340000000,9.637087500e-05,-6.858862500e-05,9.442357125e-03,1.065040687e-02,-78.541281,-36.933836
0.0,1360000000,2.226875000e-05,-8.034400000e-05,-2.842843250e-03,-8.718502875e-03,-81.579492,-40.752347
0.0,1380000000,5.029625000e-06,-5.453212500e-05,1.652420000e-04,9.930055625e-03,-85.230163,-40.059764
0.0,1400000000,4.875487500e-05,-2.502075000e-05,4.631864125e-03,5.481054375e-03,-85.224337,-42.882255
0.0,1420000000,1.269891250e-04,-5.623262500e-05,1.968874725e-02,5.937352125e-03,-77.147050,-33.737634
0.0,1440000000,1.177380000e-04,-5.391650000e-05,5.648168750e-04,-1.103324100e-02,-77.754870,-39.134571
0.0,1460000000,4.012750000e-06,-1.530431250e-04,8.031426000e-03,1.705489400e-02,-76.300739,-34.493153
0.0,1480000000,3.522937500e-05,-8.732475000e-05,5.132525500e-03,-1.048451250e-03,-80.522370,-45.615832
0.0,1500000000,1.034260000e-04,-1.811737500e-05,1.263135137e-02,5.026428125e-03,-79.576144,-37.332604
0.0,1520000000,1.116907500e-04,-3.306200000e-05,2.508543625e-03,-3.392341750e-03,-78.674867,-47.495611
0.0,1540000000,9.609900000e-05,-7.008012500e-05,9.021909750e-03,1.899596237e-02,-78.493589,-33.543406
0.0,1560000000,7.466975000e-05,-6.626675000e-05,9.466185000e-03,6.060438250e-03,-80.014419,-38.984675
0.0,1580000000,8.787587500e-05,-1.069203750e-04,1.217212225e-02,-1.181260750e-03,-77.177374,-38.251963
0.0,1600000000,8.072962500e-05,-1.231875000e-04,1.312323200e-02,5.542575875e-03,-76.636917,-36.926337
0.0,1620000000,5.396287500e-05,-1.216360000e-04,1.938648012e-02,1.452554712e-02,-77.518474,-32.314898
0.0,1640000000,1.566862500e-05,-6.431137500e-05,1.157787888e-02,-3.488235000e-03,-83.583813,-38.350079
0.0,1660000000,2.808337500e-05,-9.547750000e-06,1.370759775e-02,9.972492500e-04,-90.555985,-37.237847
0.0,1680000000,1.132637500e-04,-3.586787500e-05,1.777858137e-02,-3.478772000e-03,-78.503135,-34.838881
0.0,1700000000,1.446523750e-04,-1.533298750e-04,1.699707625e-02,1.124797488e-02,-73.522811,-33.815152
0.0,1720000000,1.153190000e-04,-1.738811250e-04,2.678736087e-02,3.860487375e-03,-73.611802,-31.352125
0.0,1740000000,4.232062500e-05,-1.352511250e-04,2.035941100e-02,-4.854484375e-03,-76.971519,-33.584549
0.0,1760000000,1.311337500e-05,-8.706675000e-05,1.504009025e-02,-7.371193500e-03,-81.105538,-35.520071
0.0,1780000000,5.961662500e-05,-7.395025000e-05,2.796659475e-02,1.555158625e-02,-80.446596,-29.897076
0.0,1800000000,1.332211250e-04,-9.338400000e-05,2.548186750e-02,-5.632374750e-03,-75.772717,-31.668215
0.0,1820000000,1.647215000e-04,-9.766200000e-05,1.358964175e-02,2.949112000e-03,-74.356768,-37.135983
0.0,1840000000,1.514631250e-04,-1.225480000e-04,3.144933700e-02,-1.019039737e-02,-74.206842,-29.614176
0.0,1860000000,1.283013750e-04,-1.715410000e-04,3.610437488e-02,1.417335000e-02,-73.383051,-28.226339
0.0,1880000000,9.750800000e-05,-2.625481250e-04,6.190710388e-02,-3.524448900e-02,-71.054661,-22.945927
0.0,1900000000,8.241325000e-05,-2.555231250e-04,5.862226262e-02,-3.541370200e-02,-71.421611,-23.287623
0.0,1920000000,9.518087500e-05,-1.564787500e-04,5.270937338e-02,4.219117500e-04,-74.743722,-25.561965
0.0,1940000000,2.411558750e-04,1.052183750e-04,4.976677450e-02,2.395876350e-02,-71.597241,-25.155928
0.0,1960000000,6.802650000e-04,-2.994287500e-05,3.810769288e-02,3.855047375e-02,-63.338031,-25.318986
0.0,1980000000,3.029512500e-04,-2.911456250e-04,8.067910650e-02,7.648397975e-02,-67.531440,-19.080196
0.0,2000000000,1.081795000e-04,-3.760852500e-04,3.877144150e-02,-2.733024087e-02,-68.149031,-26.477853
0.0,2020000000,8.448662500e-05,-4.133690000e-04,1.156950200e-01,6.508950875e-02,-67.495509,-17.539453
0.0,2040000000,-7.419375000e-05,-5.618360000e-04,1.086684447e-01,1.075543125e-03,-64.932726,-19.277506
0.0,2060000000,5.241675000e-05,-3.964286250e-04,6.343195250e-02,-2.877704825e-02,-67.961429,-23.141033
0.0,2080000000,3.506375000e-06,-3.945753750e-04,1.847377770e-01,4.333893500e-02,-68.077057,-14.436214
0.0,2100000000,3.610650000e-05,-4.248451250e-04,1.203022205e-01,-9.781410200e-02,-67.404131,-16.190615
0.0,2120000000,7.316150000e-05,-4.023917500e-04,1.252712575e-01,-1.131767120e-01,-67.765775,-15.451269
0.0,2140000000,1.061657500e-04,-4.089642500e-04,6.351869625e-02,-9.943474550e-02,-67.483060,-18.563017
0.0,2160000000,1.099616250e-04,-4.089512500e-04,3.678176975e-02,-1.192247450e-01,-67.463406,-18.077828
0.0,2180000000,8.043437500e-05,-3.579187500e-04,3.450565100e-02,-9.559953350e-02,-68.710339,-19.859034
0.0,2200000000,2.383050000e-05,-2.469868750e-04,3.007484322e-01,-2.043908860e-01,-72.106280,-8.786856
0.0,2220000000,-8.735787500e-05,-8.677412500e-05,1.180667667e-01,6.243146900e-02,-78.192679,-17.486672
0.0,2240000000,-2.856337500e-05,-3.388046250e-04,1.369977687e-01,-8.469142550e-02,-69.370255,-15.860128
0.0,2260000000,-5.519500000e-06,-4.107937500e-04,2.003238963e-02,-3.161944637e-02,-67.726739,-28.535352
0.0,2280000000,1.555475000e-05,-4.052973750e-04,4.669425825e-02,1.412959600e-02,-67.838132,-26.234232
0.0,2300000000,-4.868125000e-06,-3.873986250e-04,4.250063200e-02,9.734016075e-02,-68.236153,-19.476366
0.0,2320000000,1.002142500e-04,-3.128457500e-04,1.762192478e-01,1.663401965e-01,-69.669167,-12.311971
0.0,2340000000,1.307798750e-04,-3.089757500e-04,2.167169880e-01,4.458751000e-03,-69.485797,-13.280303
0.0,2360000000,1.241236250e-04,-2.839401250e-04,4.757190025e-02,-6.262093275e-02,-70.175991,-22.086977
0.0,2380000000,7.899662500e-05,-1.885106250e-04,1.424610525e-01,-5.941721400e-02,-73.790656,-16.229569
0.0,2400000000,-1.836337500e-05,-3.592063750e-04,1.035508262e-01,-6.024221212e-02,-68.881784,-18.430907
0.0,2420000000,-7.060450000e-05,-4.205970000e-04,6.836550100e-02,-6.596585800e-02,-67.401987,-20.445366
0.0,2440000000,-5.422475000e-05,-4.235543750e-04,1.425309850e-02,2.104332600e-02,-67.391213,-31.897860
0.0,2460000000,-1.222151250e-04,-2.496957500e-04,1.173421990e-01,-9.208990000e-03,-71.119076,-18.584249
0.0,2480000000,8.229600000e-05,-2.071876250e-04,7.887629350e-02,-1.119686893e-01,-73.036493,-17.268029
0.0,2500000000,7.510587500e-05,-3.178333750e-04,1.499918007e-01,-1.000281180e-01,-69.720027,-14.880744
0.0,2520000000,5.536037500e-05,-3.126807500e-04,2.512683161e-01,-1.106590120e-01,-69.963929,-11.227370
0.0,2540000000,-1.270437500e-05,-3.574925000e-04,7.729282950e-02,-1.097794800e-02,-68.929180,-22.150479
0.0,2560000000,-8.227525000e-05,-3.329420000e-04,-1.583489612e-02,-1.812543440e-01,-69.295203,-14.801211
0.0,2580000000,-1.149331250e-04,-4.539167500e-04,-2.006688525e-02,1.090362425e-02,-66.590603,-32.826883
0.0,2600000000,-1.926451250e-04,-4.461428750e-04,6.224831025e-02,-1.196974830e-01,-66.268017,-17.398728
