angle_deg,freq_Hz,S11_re,S11_im,S21_re,S21_im,S11_dB,S21_dB
0.0,1000000000,-2.533400000e-05,-8.601000000e-05,2.860440000e-03,-2.083961000e-03,-80.947693,-49.022219
0.0,1020000000,-7.594700000e-05,-8.964000000e-06,-1.489718000e-03,1.725423000e-03,-82.329703,-52.843021
0.0,1040000000,5.372500000e-05,1.377130000e-04,3.305093000e-03,4.990780000e-04,-76.605238,-49.518411
0.0,1060000000,9.254500000e-05,2.050500000e-05,7.549875000e-03,-1.655675000e-03,-80.464804,-42.237212
0.0,1080000000,5.180500000e-05,-3.571600000e-05,-5.402224000e-03,-2.531135000e-03,-84.023716,-44.486639
0.0,1100000000,1.056200000e-05,-3.575000000e-05,2.386659000e-03,2.625092000e-03,-88.571045,-49.000692
0.0,1120000000,2.956300000e-05,1.517900000e-05,3.330143000e-03,-1.209594800e-02,-89.568842,-38.029903
0.0,1140000000,5.443100000e-05,-7.539000000e-06,4.096990000e-04,-5.350419000e-03,-85.200549,-45.406854
0.0,1160000000,4.688500000e-05,-4.171000000e-06,-3.708526000e-03,1.080484000e-03,-86.545086,-48.262134
0.0,1180000000,3.790000000e-05,8.342000000e-06,1.007026400e-02,9.156500000e-04,-88.221753,-39.903425
0.0,1200000000,6.586000000e-05,2.534600000e-05,2.321830000e-03,-4.026931000e-03,-83.027742,-46.654042
0.0,1220000000,7.738900000e-05,-2.944400000e-05,-7.566560000e-04,-3.916570000e-04,-81.639288,-61.391091
0.0,1240000000,7.728200000e-05,-6.145400000e-05,-4.102824000e-03,3.714757000e-03,-80.110354,-45.138164
0.0,1260000000,4.028000000e-05,-7.604000000e-05,9.471976000e-03,5.100817000e-03,-81.305007,-39.365290
0.0,1280000000,1.512000000e-05,-2.232900000e-05,-4.091331000e-03,4.416427000e-03,-91.383469,-44.407661
0.0,1300000000,7.283300000e-05,3.147500000e-05,-1.433595000e-03,-3.465709000e-03,-82.009821,-48.518191
0.0,1320000000,1.212930000e-04,-1.175200000e-05,9.517178000e-03,1.205853800e-02,-78.282706,-36.271156
0.0,1340000000,8.318800000e-05,-9.106100000e-05,7.343756000e-03,5.759850000e-04,-78.178037,-42.655001
0.0,1360000000,2.585800000e-05,-9.168200000e-05,2.983706000e-03,8.982300000e-04,-80.421904,-50.128112
0.0,1380000000,1.031500000e-05,-5.272500000e-05,-6.849210000e-03,1.758972600e-02,-85.396548,-34.481718
0.0,1400000000,9.362900000e-05,5.578000000e-06,9.668664000e-03,4.356925000e-03,-80.556405,-39.489793
0.0,1420000000,1.403190000e-04,-4.000000000e-05,4.856514000e-03,1.534937600e-02,-76.718361,-35.863833
0.0,1440000000,7.287400000e-05,-6.015100000e-05,4.140096000e-03,-9.624704000e-03,-80.492087,-39.594953
0.0,1460000000,7.850100000e-05,-1.124990000e-04,2.384856000e-03,2.088119600e-02,-77.254166,-33.548609
0.0,1480000000,6.013400000e-05,-8.428300000e-05,1.034205000e-03,-8.955874000e-03,-79.698165,-40.900310
0.0,1500000000,5.704900000e-05,-3.631600000e-05,1.189516000e-02,-6.381053000e-03,-83.397570,-37.394214
0.0,1520000000,4.215900000e-05,-4.069900000e-05,-1.761815000e-02,6.002383000e-03,-84.642263,-34.603873
0.0,1540000000,5.076100000e-05,-7.596900000e-05,1.666745600e-02,2.448554000e-03,-80.784192,-35.469884
0.0,1560000000,7.795300000e-05,-7.399000000e-05,2.462134000e-03,-4.329810000e-03,-79.373733,-46.053845
0.0,1580000000,1.062970000e-04,-8.994300000e-05,6.200700000e-05,7.038730000e-03,-77.124492,-43.049777
0.0,1600000000,1.228540000e-04,-1.210960000e-04,-1.182053400e-02,2.289719000e-03,-75.264058,-38.387283
0.0,1620000000,8.556000000e-05,-1.024090000e-04,8.666730000e-03,-1.278918000e-02,-77.493820,-36.221925
0.0,1640000000,2.381400000e-05,-1.112480000e-04,1.876489200e-02,-4.390309000e-03,-78.879575,-34.301628
0.0,1660000000,7.429000000e-06,-5.889500000e-05,9.206692000e-03,2.101580000e-04,-84.529874,-40.715665
0.0,1680000000,1.110860000e-04,-9.780700000e-05,-7.302840000e-04,1.251465000e-02,-76.594308,-38.036862
0.0,1700000000,1.371650000e-04,-1.143910000e-04,-3.068020000e-03,-1.762336200e-02,-74.962156,-34.948559
0.0,1720000000,8.927600000e-05,-1.433790000e-04,1.453169800e-02,-3.424654400e-02,-75.447326,-28.588652
0.0,1740000000,9.897300000e-05,-1.221110000e-04,2.702141200e-02,1.785039200e-02,-76.071844,-29.793101
0.0,1760000000,4.955300000e-05,-1.206970000e-04,1.565749600e-02,3.486610000e-04,-77.689571,-36.103401
0.0,1780000000,6.370100000e-05,-1.539710000e-04,2.565020000e-02,-7.158986000e-03,-75.565041,-31.492412
0.0,1800000000,7.297900000e-05,-1.285830000e-04,2.368704200e-02,-2.838635000e-02,-76.603593,-28.642757
0.0,1820000000,7.537900000e-05,-1.011980000e-04,4.159952800e-02,1.214771400e-02,-77.979743,-27.262841
0.0,1840000000,9.703200000e-05,-6.741900000e-05,1.906382200e-02,4.022682000e-03,-78.550981,-34.206609
0.0,1860000000,1.229190000e-04,-1.317180000e-04,1.811725000e-02,1.191307000e-02,-74.886687,-33.277580
0.0,1880000000,1.532040000e-04,-2.154280000e-04,6.620101600e-02,1.479760000e-04,-71.556428,-23.582685
0.0,1900000000,6.681300000e-05,-2.017680000e-04,-1.453915200e-02,-1.165982800e-02,-73.451085,-34.592470
0.0,1920000000,7.228000000e-05,-1.846110000e-04,5.148292400e-02,-1.583749200e-02,-74.055454,-25.374047
0.0,1940000000,-1.678800000e-05,-1.324210000e-04,4.915011600e-02,2.995969400e-02,-77.491616,-24.797370
0.0,1960000000,1.335720000e-04,-3.774800000e-05,2.954280400e-02,2.866851200e-02,-77.151996,-27.709172
0.0,1980000000,1.167360000e-04,-5.279800000e-05,-2.728497800e-02,4.827996800e-02,-77.847612,-25.120948
0.0,2000000000,1.818590000e-04,-2.370270000e-04,-5.149648800e-02,-4.933116400e-02,-70.493699,-22.936704
0.0,2020000000,1.285950000e-04,-2.220620000e-04,1.058238080e-01,2.032850400e-02,-71.814561,-19.350957
0.0,2040000000,-5.192360000e-04,-7.933400000e-05,9.034856800e-02,3.095243800e-02,-65.592484,-20.399615
0.0,2060000000,1.963300000e-04,-3.538310000e-04,8.714651200e-02,1.238762400e-01,-67.858403,-16.394097
0.0,2080000000,1.756880000e-04,-3.941250000e-04,1.469827680e-01,-1.294929200e-01,-67.300185,-14.159816
0.0,2100000000,2.346830000e-04,-4.393510000e-04,2.477497280e-01,3.922217920e-01,-66.053638,-6.671217
0.0,2120000000,2.928440000e-04,-2.484570000e-04,-1.966870080e-01,1.079321000e-03,-68.312419,-14.124356
0.0,2140000000,3.848690000e-04,-4.720220000e-04,2.573949760e-01,1.347910880e-01,-64.307093,-10.735505
0.0,2160000000,6.556110000e-04,-9.875910000e-04,-2.353482000e-03,7.390954400e-02,-58.522737,-22.621588
0.0,2180000000,2.332500000e-04,-1.224970000e-04,-1.272586600e-02,6.621170000e-03,-71.585712,-36.865809
0.0,2200000000,2.569560000e-04,-4.232130000e-04,-1.499681600e-01,6.321744000e-01,-66.105936,-3.745487
0.0,2220000000,1.492330000e-04,-4.583920000e-04,8.515472640e-01,4.363757200e-02,-66.337756,-1.384435
0.0,2240000000,1.883260000e-04,-4.981000000e-04,7.259117440e-01,5.732517760e-01,-65.473393,-0.677468
0.0,2260000000,1.775500000e-04,-5.359740000e-04,5.211151680e-01,1.583024000e+00,-64.964924,4.436581
0.0,2280000000,1.391520000e-04,-5.310640000e-04,-2.442966208e+00,2.190324304e+00,-65.208679,10.320384
0.0,2300000000,1.431230000e-04,-5.421220000e-04,2.041148424e+00,-3.583570560e-01,-65.025445,6.329335
0.0,2320000000,1.136110000e-04,-5.635040000e-04,-4.677005760e+00,1.069295760e+00,-64.809018,13.620634
0.0,2340000000,2.146890000e-04,-4.614830000e-04,6.016583680e-01,9.680278400e-01,-65.866031,1.136328
0.0,2360000000,1.315390000e-04,-5.963350000e-04,-1.595474944e+00,-7.727652480e-01,-64.283867,4.973038
0.0,2380000000,3.075140000e-04,-5.277980000e-04,-7.299512960e-01,-1.558756352e+00,-64.281333,4.716657
0.0,2400000000,8.538200000e-05,-5.133680000e-04,-3.226447200e-02,-7.796370560e-01,-65.672923,-2.154719
0.0,2420000000,4.158800000e-05,-5.150960000e-04,2.631105440e-01,8.781608320e-01,-65.734018,-0.755173
0.0,2440000000,5.524400000e-05,-4.983580000e-04,-1.064606188e+00,-5.739049600e-01,-65.996130,1.651711
0.0,2460000000,6.743400000e-05,-5.150140000e-04,-1.380427200e-02,3.469043840e-01,-65.689794,-9.188933
0.0,2480000000,7.100900000e-05,-4.476560000e-04,-5.433985280e-01,-1.252955760e-01,-66.873189,-5.072662
0.0,2500000000,-4.007020000e-04,-2.252370000e-04,6.877684480e-01,-1.996994000e-03,-66.751132,-3.251118
0.0,2520000000,6.901840000e-04,-1.944298000e-03,6.395364000e-02,-9.177052800e-01,-53.709322,-0.724895
0.0,2540000000,3.110110000e-04,-4.773090000e-04,1.609844000e-01,-1.327335584e+00,-64.887161,2.523033
0.0,2560000000,4.517600000e-05,-5.047430000e-04,2.131944800e-01,7.918826880e-01,-65.903942,-1.722883
0.0,2580000000,-6.138900000e-05,-5.228870000e-04,-1.289522480e-01,-4.298059840e-01,-65.572390,-6.960228
0.0,2600000000,4.820600000e-05,-5.098360000e-04,1.421568160e-01,-5.706483200e-01,-65.812736,-4.611146
0.0,2620000000,2.904700000e-05,-4.560020000e-04,-2.056476000e-03,-1.323823800e-02,-66.803079,-37.459838
0.0,2640000000,2.654100000e-05,-1.474180000e-04,8.632780000e-03,-4.609019200e-02,-76.490451,-26.578082
0.0,2660000000,2.040000000e-07,-2.173160000e-04,3.006147800e-02,-2.443457800e-02,-73.258162,-28.236942
0.0,2680000000,-1.217840000e-04,-1.552700000e-04,-1.866582000e-02,-2.865381400e-02,-74.096028,-29.320169
0.0,2700000000,1.811900000e-05,-2.137220000e-04,7.938514400e-02,-1.296423360e-01,-73.371913,-16.362163
0.0,2720000000,4.988200000e-05,-1.010930000e-04,1.189532320e-01,6.410685000e-03,-78.959225,-18.479880
0.0,2740000000,-1.384330000e-04,3.401400000e-05,6.649300400e-02,5.550127200e-02,-76.920625,-21.248397
0.0,2760000000,-1.660930000e-04,-5.967900000e-05,7.853969600e-02,-4.324658800e-02,-75.065633,-20.948114
0.0,2780000000,3.542500000e-05,-1.859800000e-05,-2.617500000e-02,-4.250067200e-02,-87.956585,-26.035500
0.0,2800000000,-4.498600000e-05,5.073800000e-05,-6.392565000e-03,-2.225359600e-02,-83.374230,-32.707644
