angle_deg,freq_Hz,S11_re,S11_im,S21_re,S21_im,S11_dB,S21_dB
0.0,1000000000,-9.178400000e-05,-7.751000000e-05,4.316992000e-03,2.298508000e-03,-78.406704,-46.212468
0.0,1020000000,-9.164000000e-05,-7.768300000e-05,3.213074000e-03,-4.531578000e-03,-78.406573,-45.106175
0.0,1040000000,-9.159700000e-05,-7.763200000e-05,-7.732448000e-03,-4.827850000e-04,-78.411330,-42.216763
0.0,1060000000,-9.147200000e-05,-7.728700000e-05,1.215339000e-03,9.434550000e-04,-78.434385,-56.257731
0.0,1080000000,-9.181100000e-05,-7.729800000e-05,5.529805000e-03,-3.543296000e-03,-78.415096,-43.651834
0.0,1100000000,-9.212700000e-05,-7.775200000e-05,-9.257402000e-03,-6.889900000e-05,-78.376520,-40.669977
0.0,1120000000,-9.200900000e-05,-7.775000000e-05,1.063457000e-03,2.629216000e-03,-78.383111,-50.945432
0.0,1140000000,-9.145600000e-05,-7.717700000e-05,-1.728953000e-03,-3.417599000e-03,-78.440421,-48.335918
0.0,1160000000,-9.167000000e-05,-7.750100000e-05,5.273341000e-03,7.426700000e-04,-78.413422,-45.472986
0.0,1180000000,-9.180000000e-05,-7.747000000e-05,-3.580895000e-03,4.457655000e-03,-78.407686,-44.855386
0.0,1200000000,-9.168900000e-05,-7.807500000e-05,-8.500182000e-03,9.403310000e-04,-78.385548,-41.358610
0.0,1220000000,-9.175300000e-05,-7.833000000e-05,-9.090170000e-04,1.060854600e-02,-78.370116,-39.455112
0.0,1240000000,-9.242300000e-05,-7.785300000e-05,9.365628000e-03,-7.683177000e-03,-78.355549,-38.334331
0.0,1260000000,-9.187900000e-05,-7.745500000e-05,-1.047020800e-02,-8.263705000e-03,-78.404019,-37.497897
0.0,1280000000,-9.123200000e-05,-7.778000000e-05,-1.193737400e-02,2.523511000e-03,-78.424524,-38.271957
0.0,1300000000,-9.194900000e-05,-7.689100000e-05,1.136578800e-02,1.141381200e-02,-78.426386,-35.859359
0.0,1320000000,-9.151800000e-05,-7.771200000e-05,3.598394000e-03,4.226783000e-03,-78.411944,-45.112500
0.0,1340000000,-9.242800000e-05,-7.753300000e-05,6.941130000e-04,3.467607000e-03,-78.370086,-49.028784
0.0,1360000000,-9.151600000e-05,-7.768800000e-05,4.651820000e-04,2.366873600e-02,-78.413178,-32.514821
0.0,1380000000,-9.190900000e-05,-7.825000000e-05,1.605057000e-02,3.045986000e-03,-78.365307,-35.736533
0.0,1400000000,-9.131300000e-05,-7.895200000e-05,3.157779000e-03,1.800709800e-02,-78.364963,-34.759583
0.0,1420000000,-9.161700000e-05,-7.725800000e-05,1.126379200e-02,-7.514850000e-03,-78.427708,-37.367286
0.0,1440000000,-9.140000000e-05,-7.741200000e-05,1.086805600e-02,1.939584600e-02,-78.432517,-33.059975
0.0,1460000000,-8.987800000e-05,-7.467700000e-05,1.216870800e-02,-6.845443000e-03,-78.647175,-37.101045
