angle_deg,freq_Hz,S11_re,S11_im,S21_re,S21_im,S11_dB,S21_dB
0.0,1000000000,-9.170720000e-05,-7.753510000e-05,-5.893043000e-04,-3.440864000e-04,-78.409775,-63.319171
0.0,1020000000,-9.175680000e-05,-7.744210000e-05,-8.958117000e-04,1.640890600e-03,-78.411375,-54.565527
0.0,1040000000,-9.169820000e-05,-7.770520000e-05,9.450442000e-04,6.658310000e-04,-78.402326,-58.740507
0.0,1060000000,-9.161260000e-05,-7.758490000e-05,2.267068900e-03,-1.685699200e-03,-78.412672,-50.979327
0.0,1080000000,-9.173300000e-05,-7.756890000e-05,-2.980573600e-03,1.202052400e-03,-78.406772,-49.859523
0.0,1100000000,-9.181860000e-05,-7.764420000e-05,-2.015496600e-03,-1.715950800e-03,-78.398534,-51.544856
0.0,1120000000,-9.179130000e-05,-7.759670000e-05,3.795653600e-03,5.777526000e-04,-78.402256,-48.314794
0.0,1140000000,-9.175690000e-05,-7.733990000e-05,-5.848828000e-04,-7.161680900e-03,-78.416137,-42.870831
0.0,1160000000,-9.185550000e-05,-7.759340000e-05,-1.434813100e-03,6.721633700e-03,-78.398867,-43.256989
0.0,1180000000,-9.172900000e-05,-7.760990000e-05,2.365141000e-04,-2.188428200e-03,-78.405078,-53.146922
0.0,1200000000,-9.187760000e-05,-7.753600000e-05,4.136437000e-04,1.689038900e-03,-78.400322,-55.194249
0.0,1220000000,-9.192850000e-05,-7.770040000e-05,-7.274084700e-03,-4.683128500e-03,-78.389855,-41.258430
0.0,1240000000,-9.163060000e-05,-7.746380000e-05,2.473008000e-04,6.649158500e-03,-78.417338,-43.538663
0.0,1260000000,-9.166640000e-05,-7.756970000e-05,1.352942200e-03,3.276814900e-03,-78.410411,-49.007349
0.0,1280000000,-9.135480000e-05,-7.758190000e-05,6.884896600e-03,-4.417898500e-03,-78.427049,-41.744465
0.0,1300000000,-9.184270000e-05,-7.751000000e-05,-4.346545200e-03,3.518788000e-03,-78.403461,-45.048121
0.0,1320000000,-9.174200000e-05,-7.757990000e-05,-2.685096100e-03,6.364324800e-03,-78.405761,-43.213508
0.0,1340000000,-9.155240000e-05,-7.766850000e-05,1.708893750e-02,8.854739900e-03,-78.412083,-34.312842
0.0,1360000000,-9.184590000e-05,-7.773420000e-05,-2.017236500e-03,-4.766245200e-03,-78.392832,-45.720867
0.0,1380000000,-9.182450000e-05,-7.738310000e-05,-2.284087000e-04,7.107091500e-03,-78.410383,-42.961679
0.0,1400000000,-9.183680000e-05,-7.755470000e-05,9.228358100e-03,1.287525270e-02,-78.401703,-36.004392
0.0,1420000000,-9.182730000e-05,-7.765230000e-05,1.573575550e-02,-1.036995250e-02,-78.397677,-34.495883
0.0,1440000000,-9.153910000e-05,-7.766730000e-05,8.351887000e-04,7.066081700e-03,-78.412873,-42.956174
0.0,1460000000,-9.138660000e-05,-7.766120000e-05,2.103128800e-03,1.162577500e-03,-78.421574,-52.384678
0.0,1480000000,-9.224090000e-05,-7.730830000e-05,1.417781830e-02,1.215026180e-02,-78.390828,-34.576235
0.0,1500000000,-9.166080000e-05,-7.661810000e-05,6.404212200e-03,-3.071921700e-03,-78.455141,-42.971333
0.0,1520000000,-9.247170000e-05,-7.678130000e-05,1.466912510e-02,3.464945500e-03,-78.402409,-36.436125
0.0,1540000000,-9.200700000e-05,-7.746440000e-05,4.102819200e-03,4.489390800e-03,-78.396509,-44.319420
0.0,1560000000,-9.226820000e-05,-7.698510000e-05,1.566029760e-02,7.077667900e-03,-78.404290,-35.296802
0.0,1580000000,-9.223400000e-05,-7.733900000e-05,1.060701610e-02,3.567800500e-03,-78.389786,-39.022639
0.0,1600000000,-9.321140000e-05,-7.645760000e-05,6.793824000e-03,1.958018400e-03,-78.376110,-43.011179
0.0,1620000000,-9.131250000e-05,-7.699570000e-05,4.440353700e-03,-1.233579300e-03,-78.456883,-46.728770
0.0,1640000000,-9.147130000e-05,-7.886720000e-05,2.164643760e-02,7.540945200e-03,-78.360330,-32.794817
0.0,1660000000,-9.159180000e-05,-7.758130000e-05,1.784476990e-02,-3.646437100e-03,-78.413988,-34.792122
0.0,1680000000,-9.223630000e-05,-7.766410000e-05,1.380505130e-02,1.215010390e-02,-78.374581,-34.708207
