angle_deg,freq_Hz,S11_re,S11_im,S21_re,S21_im,S11_dB,S21_dB
0.0,4000000000,-1.720310000e-01,2.513776667e-01,4.524000000e-03,2.577133333e-02,-10.325204,-31.645452
0.0,4004000000,2.221176667e-01,1.268326667e-01,4.711333333e-03,-1.570266667e-02,-11.842710,-35.706186
0.0,4008000000,7.493600000e-02,-1.263173333e-01,-1.013100000e-02,6.316666667e-04,-16.661202,-39.870103
0.0,4012000000,-9.727533333e-02,-2.025666667e-03,8.845000000e-03,1.610966667e-02,-20.238063,-34.713977
0.0,4016000000,1.073823333e-01,-4.460000000e-03,-1.370666667e-03,-2.133733333e-02,-19.373858,-33.399313
0.0,4020000000,-3.017300000e-02,-1.701226667e-01,-8.685000000e-03,7.688000000e-03,-15.250247,-38.711661
0.0,4024000000,-2.381733333e-01,-2.791633333e-02,1.586833333e-02,6.306333333e-03,-12.402879,-35.352514
0.0,4028000000,1.643900000e-02,9.941833333e-02,-1.337866667e-02,-1.361633333e-02,-19.933523,-34.384297
0.0,4032000000,-4.484166667e-02,-1.162520000e-01,-1.510000000e-03,1.098200000e-02,-18.089599,-39.105032
0.0,4036000000,-2.772400000e-01,1.189533333e-02,1.367833333e-02,-3.008666667e-03,-11.134894,-37.074142
0.0,4040000000,1.291366667e-02,2.266400000e-01,-1.714700000e-02,-8.363333333e-03,-12.879192,-34.389404
0.0,4044000000,6.474533333e-02,-6.724266667e-02,4.512333333e-03,1.118600000e-02,-20.598056,-38.371736
0.0,4048000000,-1.549526667e-01,-1.863800000e-02,1.140866667e-02,-1.360433333e-02,-16.133637,-35.013648
0.0,4052000000,5.306366667e-02,1.729830000e-01,-2.016800000e-02,8.733000000e-03,-14.849363,-33.160407
0.0,4056000000,8.902700000e-02,-1.213233333e-01,9.559666667e-03,4.980000000e-03,-16.450246,-39.348401
0.0,4060000000,-1.646406667e-01,-9.255133333e-02,2.201666667e-03,-1.309700000e-02,-14.476689,-37.535538
0.0,4064000000,-2.250366667e-02,1.588740000e-01,-2.133366667e-02,1.792900000e-02,-15.892672,-31.098169
0.0,4068000000,8.185000000e-02,-1.077050000e-01,1.687566667e-02,-3.356333333e-03,-17.375539,-35.286304
0.0,4072000000,-1.794693333e-01,-8.808833333e-02,-8.903000000e-03,-1.124566667e-02,-13.982789,-36.867057
0.0,4076000000,-8.182533333e-02,2.387573333e-01,2.960333333e-03,2.233266667e-02,-11.958575,-32.945540
0.0,4080000000,1.813646667e-01,-3.836633333e-02,7.790000000e-03,-1.190733333e-02,-14.638822,-36.936421
0.0,4084000000,-1.038370000e-01,-1.724556667e-01,-9.599666667e-03,-2.642666667e-03,-13.922976,-40.037630
0.0,4088000000,-2.071383333e-01,7.586500000e-02,7.789333333e-03,1.468633333e-02,-13.128119,-35.585215
0.0,4092000000,-2.813200000e-02,-3.427100000e-02,1.424333333e-03,-1.258700000e-02,-27.064362,-37.946297
0.0,4096000000,-2.589590000e-01,-5.437733333e-02,-9.609000000e-03,2.971666667e-03,-11.547986,-39.949754
0.0,4100000000,-2.356216667e-01,3.229433333e-01,1.123200000e-02,1.155833333e-02,-7.963961,-35.854396
0.0,4104000000,2.564313333e-01,1.565173333e-01,-4.101666667e-03,-1.627633333e-02,-10.445302,-35.501473
0.0,4108000000,2.750866667e-02,-1.150016667e-01,-6.925333333e-03,9.778000000e-03,-18.544273,-38.429377
